,ID,FrgH,PrH,WtH,aHab,FrgHC,PrHC,WtHC,aHabC,Devel,EmWet,WoodyWet,OpenWater,ConFrst,DecidFrst,MixFrst,RegenFrst,Grass,DevelC,EmWetC,WoodyWetC,OpenWaterC,ConFrstC,DecidFrstC,MixFrstC,RegenFrstC,GrassC,Season
0,X13_2013_Fall.X13_BB90,0.382648402,0.421004566,0.18630137,0.010045662,419,461,204,11,0.000227998,0.036023712,0.174646603,0.002051984,0.665298678,0.11377109,0.007979936,0,0,1,158,766,9,2918,499,35,0,0,Fall
1,X15_2013_Fall.X15_BB90,0.412124583,0.015572859,0.570634038,0.001668521,741,28,1026,3,0.006303404,0.358453565,0.004622496,0.001820983,0.284353551,0.314049587,0.030396414,0,0,45,2559,33,13,2030,2242,217,0,0,Fall
2,X156_2014_Fall.X156_BB90,0.37730151,0.107160253,0.466293229,0.049245007,7746,2200,9573,1011,0.009472441,0.013222456,0.311847857,0.001387993,0.086359928,0.204120147,0.198263792,0.116445278,0.058880109,778,1086,25613,114,7093,16765,16284,9564,4836,Fall
3,X157_2016_Fall.X157_BB90,0.645751165,0.160631051,0.182144138,0.011473646,1801,448,508,32,0.007051053,0.00651553,0.152445555,0.009907176,0.230899679,0.270796144,0.281685112,0.001963584,0.038736166,79,73,1708,111,2587,3034,3156,22,434,Fall
4,X158_2016_Fall.X158_BB90,0.12869304,0.118552829,0.542563846,0.210190285,1028,947,4334,1679,0.048734653,0.426021047,0.001252819,0.073446505,0.042909045,0.028752192,0.167063393,0.211820346,0,1556,13602,40,2345,1370,918,5334,6763,0,Fall
5,X178_2014_Fall.X178_BB90,0.556139495,0.165058748,0.226247232,0.052554525,14815,4397,6027,1400,0.014335169,0.018266083,0.173832688,0.0287923,0.154938034,0.307352403,0.261504255,0.009756921,0.031222148,1528,1947,18529,3069,16515,32761,27874,1040,3328,Fall
6,X181_2015_Fall.X181_BB90,0.164759949,0.112056322,0.594504742,0.128678987,1685,1146,6080,1316,0.004404532,0.018645851,0.50162723,0.045733722,0.060586782,0.095627279,0.137445861,0.067095701,0.068833044,180,762,20500,1869,2476,3908,5617,2742,2813,Fall
7,X19_2013_Fall.X19_BB90,0.339035088,0.090789474,0.506140351,0.064035088,1546,414,2308,292,0.013971072,0.40472277,0.005971948,0.008053912,0.009314048,0.024983563,0.456936226,0.076046461,0,255,7387,109,147,170,456,8340,1388,0,Fall
8,X192_2015_Fall.X192_BB90,0.336576326,0.183460737,0.47231874,0.007644197,1453,792,2039,33,0.011498926,0.297171729,0.000638829,0.125326674,0.113885824,0.408386085,0.036529415,0.006562518,0,198,5117,11,2158,1961,7032,629,113,0,Fall
9,X200_2015_Fall.X200_BB90,0.41703031,0.104729331,0.349097771,0.129142588,3536,888,2960,1095,0.083603752,0.048262434,0.251224261,0.025753732,0.073455661,0.09106732,0.192961237,0.112809015,0.120862588,2834,1636,8516,873,2490,3087,6541,3824,4097,Fall
10,X202_2015_Fall.X202_BB90,0.501819385,0.086470394,0.387562024,0.024148197,7585,1307,5858,365,0.003819571,0.042941235,0.299381593,0.004100665,0.001818843,0.444343398,0.091090975,0.037104402,0.075399319,231,2597,18106,248,110,26873,5509,2244,4560,Fall
11,X205_2015_Fall.X205_BB90,0.667167217,0.09880869,0.215603831,0.018420262,19993,2961,6461,552,0.011235861,0.013846718,0.195213707,0.0066898,0.118781489,0.455790598,0.191218178,0.000125121,0.007098529,1347,1660,23403,802,14240,54642,22924,15,851,Fall
12,X31_2013_Fall.X31_BB90,0.800312826,0.140771637,0.022940563,0.035974974,1535,270,44,69,0.075055476,0.220728364,0.257799243,0.446025323,0.000391594,0,0,0,0,575,1691,1975,3417,3,0,0,0,0,Fall
13,X58_2013_Fall.X58_BB90,0.463265306,0.144897959,0.360204082,0.031632653,454,142,353,31,0.022460439,0.570699336,0.000765697,0.062276672,0.049770291,0.247320061,0.046707504,0,0,88,2236,3,244,195,969,183,0,0,Fall
