,ID,FrgH,PrH,WtH,aHab,FrgHC,PrHC,WtHC,aHabC,Devel,EmWet,WoodyWet,OpenWater,ConFrst,DecidFrst,MixFrst,RegenFrst,Grass,DevelC,EmWetC,WoodyWetC,OpenWaterC,ConFrstC,DecidFrstC,MixFrstC,RegenFrstC,GrassC,Season
0,X11_2013_Spring.X11_BB90,0.479646522,0.259236032,0.184834664,0.076282782,8413,4547,3242,1338,0.016803973,0.01388711,0.1691211,0.029467424,0.209544543,0.203653904,0.301005962,0.056515986,0,1181,976,11886,2071,14727,14313,21155,3972,0,Spring
1,X13_2013_Spring.X13_BB90,0.171487603,0.407024793,0.30785124,0.113636364,83,197,149,55,0.004610656,0.352971311,0.197233607,0.445184426,0,0,0,0,0,9,689,385,869,0,0,0,0,0,Spring
2,X13_2014_Spring.X13_BB90,0.770179372,0.135650224,0.069506726,0.024663677,687,121,62,22,0.010246469,0.112157297,0.246746054,0.326502354,0.296870673,0.007477153,0,0,0,37,405,891,1179,1072,27,0,0,0,Spring
3,X15_2013_Spring.X15_BB90,0.485714286,0.017687075,0.480952381,0.015646259,714,26,707,23,0.012450964,0.014497697,0.280061402,0.001023367,0.020467338,0.234692137,0.406106089,0.002217295,0.028483711,73,85,1642,6,120,1376,2381,13,167,Spring
4,X15_2014_Spring.X15_BB90,0.842592593,0.148148148,0.009259259,0,91,16,1,0,0.93253012,0.06746988,0,0,0,0,0,0,0,387,28,0,0,0,0,0,0,0,Spring
5,X151_2014_Spring.X151_BB90,0.43993994,0.34984985,0.193693694,0.016516517,586,466,258,22,0.030360173,0.006600038,0.174806713,0.00452574,0.39204224,0.101829153,0.2174241,0.039977371,0.032434471,161,35,927,24,2079,540,1153,212,172,Spring
6,X156_2014_Spring.X156_BB90,0.669935281,0.089625417,0.222200431,0.01823887,3416,457,1133,93,0.00063835,0.033194206,0.092560766,0.00662902,0.052590228,0.44738522,0.315099435,0.028578443,0.023324331,13,676,1885,135,1071,9111,6417,582,475,Spring
7,X156_2015_Spring.X156_BB90,0.603024575,0.099243856,0.293005671,0.004725898,638,105,310,5,0.00307838,0.016102297,0.169310916,0.011603126,0.115084063,0.256926356,0.402320625,0.025574236,0,13,68,715,49,486,1085,1699,108,0,Spring
8,X157_2016_Spring.X157_BB90,0.73905385,0.09159537,0.16129844,0.00805234,2937,364,641,32,0.013192612,0.146626461,0.007287348,0.118545043,0.586945596,0.124764418,0.002638522,0,0,210,2334,116,1887,9343,1986,42,0,0,Spring
9,X157_2017_Spring.X157_BB90,0.285714286,0.714285714,0,0,4,10,0,0,0.507692308,0.415384615,0.076923077,0,0,0,0,0,0,33,27,5,0,0,0,0,0,0,Spring
10,X158_2016_Spring.X158_BB90,0.245628701,0.182514803,0.423685127,0.148171369,3526,2620,6082,2127,0.00593849,0.045209153,0.299484518,0.00113197,0.156647278,0.107432691,0.08594267,0.138483508,0.15972972,341,2596,17197,65,8995,6169,4935,7952,9172,Spring
11,X161_2015_Spring.X161_BB90,0.437208159,0.204718604,0.327353158,0.030720079,1779,833,1332,125,0.009387655,0.241747454,0.010553442,0.095717266,0.20892134,0.089397472,0.309547184,0.034728188,0,153,3940,172,1560,3405,1457,5045,566,0,Spring
12,X178_2015_Spring.X178_BB90,0.577068927,0.161573351,0.167967879,0.093389843,7761,2173,2259,1256,0.012155456,0.011003104,0.159693697,0.04955114,0.150642158,0.325335018,0.256268238,0.006468041,0.028883148,654,592,8592,2666,8105,17504,13788,348,1554,Spring
13,X181_2016_Spring.X181_BB90,0.113268608,0.350053937,0.497303128,0.039374326,420,1298,1844,146,0.001889211,0.005262803,0.392348694,0.001551852,0.165103569,0.058767964,0.147021119,0.169894069,0.058160718,28,78,5815,23,2447,871,2179,2518,862,Spring
14,X19_2013_Spring.X19_BB90,0.60199241,0.036527514,0.327798861,0.033681214,2538,154,1382,142,0.000708592,0.019899616,0.20082669,0.010333629,0.002066726,0.090758784,0.01960437,0.60088574,0.054915855,12,337,3401,175,35,1537,332,10176,930,Spring
15,X192_2015_Spring.X192_BB90,0.265339967,0.066334992,0.624654505,0.043670536,480,120,1130,79,0.001384083,0.003875433,0.562214533,0.001937716,0.068788927,0.150726644,0.134117647,0.035432526,0.041522491,10,28,4062,14,497,1089,969,256,300,Spring
16,X200_2015_Spring.X200_BB90,0.07518797,0.195488722,0.714285714,0.015037594,10,26,95,2,0.351503759,0.001879699,0.016917293,0.629699248,0,0,0,0,0,187,1,9,335,0,0,0,0,0,Spring
17,X200_2016_Spring.X200_BB90,0.364600138,0.179764923,0.369670431,0.085964508,1582,780,1604,373,0.071929623,0.018686753,0.226138454,0.01224701,0.150643974,0.044733211,0.195894664,0.144031739,0.135579577,1251,325,3933,213,2620,778,3407,2505,2358,Spring
18,X202_2016_Spring.X202_BB90,0.469842165,0.05270575,0.466741826,0.010710259,3334,374,3312,76,0.048410965,0.393594532,0.005108872,0.000246635,0.287435699,0.239588472,0.025614826,0,0,1374,11171,145,7,8158,6800,727,0,0,Spring
19,X205_2015_Spring.X205_BB90,0.647746105,0.163075903,0.168158215,0.021019777,23451,5904,6088,761,0.012159147,0.008373231,0.15527783,0.012995088,0.125107947,0.482856294,0.18758938,0.011136673,0.004504411,1760,1212,22476,1881,18109,69892,27153,1612,652,Spring
20,X31_2013_Spring.X31_BB90,0.64799253,0.304388422,0.016806723,0.030812325,694,326,18,33,0.051150895,0.035573123,0.278074866,0.411299698,0.223901418,0,0,0,0,220,153,1196,1769,963,0,0,0,0,Spring
21,X58_2013_Spring.X58_BB90,0.837563452,0.108629442,0.045177665,0.008629442,1650,214,89,17,0.133917238,0.004950495,0.002665651,0.617796395,0.234196497,0.006473724,0,0,0,1055,39,21,4867,1845,51,0,0,0,Spring
22,X90_2013_Spring.X90_BB90,0.733660131,0.027777778,0.238562092,0,449,17,146,0,0.017713366,0.112721417,0.18115942,0.280595813,0.289049919,0.107487923,0.011272142,0,0,44,280,450,697,718,267,28,0,0,Spring
