"","ID","X","Y","X.1","Y.1","distLS"
"1","X13_2013_Fall.X13_BB90",660079.409038082,5296188.66275188,660079.409039526,5296188.66262998,18327.6222092243
"2","X15_2013_Fall.X15_BB90",627079.562031165,5271590.35728611,627079.562032304,5271590.35716435,23939.2466619461
"3","X156_2014_Fall.X156_BB90",599583.777894921,5250259.93997403,599583.777895808,5250259.93985239,31711.8489339474
"4","X157_2016_Fall.X157_BB90",653360.519529472,5274146.7406825,653360.519530848,5274146.74056074,5932.36755600413
"5","X158_2016_Fall.X158_BB90",607260.340082943,5267767.26785133,607260.340083904,5267767.26772959,36624.7246645741
"6","X178_2014_Fall.X178_BB90",669477.214698057,5291894.30035048,669477.214699585,5291894.30022862,10483.3627569106
"7","X181_2015_Fall.X181_BB90",582824.244672229,5260213.78711817,582824.244672969,5260213.78699647,50631.8365074814
"8","X19_2013_Fall.X19_BB90",575392.244550729,5302682.06514126,575392.244551411,5302682.06501931,83437.3221538997
"9","X192_2015_Fall.X192_BB90",605218.671550412,5245890.13326838,605218.671551348,5245890.13314677,24737.0601933555
"10","X200_2015_Fall.X200_BB90",600473.936792323,5248715.22018735,600473.936793217,5248715.22006572,29968.0414334582
"11","X202_2015_Fall.X202_BB90",606623.838056303,5237688.40050612,606623.838057249,5237688.40038456,17902.8382312193
"12","X205_2015_Fall.X205_BB90",664609.642962169,5280500.47548331,664609.642963647,5280500.47536151,6079.63333104722
"13","X31_2013_Fall.X31_BB90",691491.784899533,5311468.75994711,691491.784901267,5311468.75982514,19458.0831824948
"14","X58_2013_Fall.X58_BB90",649423.426502676,5281874.68795172,649423.426504018,5281874.68782991,13356.4424736249
"15","X11_2013_Spring.X11_BB90",631894.62539869,5275355.99850861,631894.625399873,5275355.99838683,23334.9941371814
"16","X13_2013_Spring.X13_BB90",660841.292863859,5294079.42450399,660841.292865309,5294079.4243821,16196.9890339302
"17","X13_2014_Spring.X13_BB90",656804.275332199,5295053.75152971,656804.275333613,5295053.75140782,19666.300732993
"18","X15_2013_Spring.X15_BB90",627091.44589173,5272055.25209634,627091.445892869,5272055.25197457,24226.3460274399
"19","X15_2014_Spring.X15_BB90",575199.925160458,5271955.3821293,575199.925161132,5271955.38200753,64239.8541109215
"20","X151_2014_Spring.X151_BB90",686024.656194854,5300855.78250813,686024.656196535,5300855.78238622,12798.2989643495
"21","X156_2014_Spring.X156_BB90",596294.029955265,5248728.02870348,596294.029956122,5248728.02858186,32935.9942463078
"22","X156_2015_Spring.X156_BB90",596442.213767309,5248665.75286768,596442.213768168,5248665.75274605,32784.5386989638
"23","X157_2016_Spring.X157_BB90",655290.907061698,5271856.18436175,655290.90706309,5271856.18424,3718.37921363661
"24","X157_2017_Spring.X157_BB90",653839.00639322,5273282.4636595,653839.0063946,5273282.46353774,5250.2276457744
