"","ID","X","Y","X.1","Y.1","deerharvSQMI2012","deerharvSQMI2013","deerharvSQMI2014","harvestAVE"
"1","X13_2013_Fall.X13_BB90",660079.409038082,5296188.66275188,660079.409038082,5296188.66275188,0.700198,0.769,0.314398,0.594532
"2","X15_2013_Fall.X15_BB90",627079.562031165,5271590.35728611,627079.562031165,5271590.35728611,0.256595,0.264225,0.0886663,0.2031621
"3","X156_2014_Fall.X156_BB90",599583.777894921,5250259.93997403,599583.777894921,5250259.93997403,0.876335,0.728595,0.388362,0.664430666666667
"4","X157_2016_Fall.X157_BB90",653360.519529472,5274146.7406825,653360.519529472,5274146.7406825,0.700198,0.769,0.314398,0.594532
"5","X158_2016_Fall.X158_BB90",607260.340082943,5267767.26785133,607260.340082943,5267767.26785133,0.256595,0.264225,0.0886663,0.2031621
"6","X178_2014_Fall.X178_BB90",669477.214698057,5291894.30035048,669477.214698057,5291894.30035048,0.700198,0.769,0.314398,0.594532
"7","X181_2015_Fall.X181_BB90",582824.244672229,5260213.78711817,582824.244672229,5260213.78711817,0.876335,0.728595,0.388362,0.664430666666667
"8","X19_2013_Fall.X19_BB90",575392.244550729,5302682.06514126,575392.244550729,5302682.06514126,0.570777,0.566398,0.377871,0.505015333333333
"9","X192_2015_Fall.X192_BB90",605218.671550412,5245890.13326838,605218.671550412,5245890.13326838,2.08261,1.41277,0.570225,1.35520166666667
"10","X200_2015_Fall.X200_BB90",600473.936792323,5248715.22018735,600473.936792323,5248715.22018735,0.876335,0.728595,0.388362,0.664430666666667
"11","X202_2015_Fall.X202_BB90",606623.838056303,5237688.40050612,606623.838056303,5237688.40050612,2.08261,1.41277,0.570225,1.35520166666667
"12","X205_2015_Fall.X205_BB90",664609.642962169,5280500.47548331,664609.642962169,5280500.47548331,0.700198,0.769,0.314398,0.594532
"13","X31_2013_Fall.X31_BB90",691491.784899533,5311468.75994711,691491.784899533,5311468.75994711,0.700198,0.769,0.314398,0.594532
"14","X58_2013_Fall.X58_BB90",649423.426502676,5281874.68795172,649423.426502676,5281874.68795172,0.700198,0.769,0.314398,0.594532
"15","X11_2013_Spring.X11_BB90",631894.62539869,5275355.99850861,631894.62539869,5275355.99850861,0.256595,0.264225,0.0886663,0.2031621
"16","X13_2013_Spring.X13_BB90",660841.292863859,5294079.42450399,660841.292863859,5294079.42450399,0.700198,0.769,0.314398,0.594532
"17","X13_2014_Spring.X13_BB90",656804.275332199,5295053.75152971,656804.275332199,5295053.75152971,0.256595,0.264225,0.0886663,0.2031621
"18","X15_2013_Spring.X15_BB90",627091.44589173,5272055.25209634,627091.44589173,5272055.25209634,0.256595,0.264225,0.0886663,0.2031621
"19","X15_2014_Spring.X15_BB90",575199.925160458,5271955.3821293,575199.925160458,5271955.3821293,2.51244,1.71001,0.986646,1.73636533333333
"20","X151_2014_Spring.X151_BB90",686024.656194854,5300855.78250813,686024.656194854,5300855.78250813,0.700198,0.769,0.314398,0.594532
"21","X156_2014_Spring.X156_BB90",596294.029955265,5248728.02870348,596294.029955265,5248728.02870348,0.876335,0.728595,0.388362,0.664430666666667
"22","X156_2015_Spring.X156_BB90",596442.213767309,5248665.75286768,596442.213767309,5248665.75286768,0.876335,0.728595,0.388362,0.664430666666667
