"","fallMooseBB90HR@data$ID","1","2"
"1","X13_2013_Fall.X13_BB90",660079.409038082,5296188.66275188
"2","X15_2013_Fall.X15_BB90",627079.562031165,5271590.35728611
"3","X156_2014_Fall.X156_BB90",599583.777894921,5250259.93997403
"4","X157_2016_Fall.X157_BB90",653360.519529472,5274146.7406825
"5","X158_2016_Fall.X158_BB90",607260.340082943,5267767.26785133
"6","X178_2014_Fall.X178_BB90",669477.214698057,5291894.30035048
"7","X181_2015_Fall.X181_BB90",582824.244672229,5260213.78711817
"8","X19_2013_Fall.X19_BB90",575392.244550729,5302682.06514126
"9","X192_2015_Fall.X192_BB90",605218.671550412,5245890.13326838
"10","X200_2015_Fall.X200_BB90",600473.936792323,5248715.22018735
"11","X202_2015_Fall.X202_BB90",606623.838056303,5237688.40050612
"12","X205_2015_Fall.X205_BB90",664609.642962169,5280500.47548331
"13","X31_2013_Fall.X31_BB90",691491.784899533,5311468.75994711
"14","X58_2013_Fall.X58_BB90",649423.426502676,5281874.68795172
