"","ID","undisturbed2000","disturbed2000","undisturbed2000.1","disturbed2000.1","season"
"0","X13_2013_Fall.X13_BB90",1,0,1096,0,"fall"
"01","X15_2013_Fall.X15_BB90",0.699609156895589,0.300390843104411,1253,538,"fall"
"02","X156_2014_Fall.X156_BB90",0.875140168689971,0.124859831310029,17950,2561,"fall"
"03","X157_2016_Fall.X157_BB90",0.996427295462665,0.00357270453733476,2789,10,"fall"
"04","X158_2016_Fall.X158_BB90",0.822386563048383,0.177613436951617,6561,1417,"fall"
"05","X178_2014_Fall.X178_BB90",0.952697875540515,0.0473021244594849,25337,1258,"fall"
"06","X181_2015_Fall.X181_BB90",0.936781044145118,0.0632189558548815,9528,643,"fall"
"07","X19_2013_Fall.X19_BB90",0.967720685111989,0.0322793148880105,4407,147,"fall"
"08","X192_2015_Fall.X192_BB90",0.993047508690614,0.00695249130938586,4285,30,"fall"
"09","X200_2015_Fall.X200_BB90",0.872363246335359,0.127636753664641,7320,1071,"fall"
"010","X202_2015_Fall.X202_BB90",0.821430935204183,0.178569064795817,12411,2698,"fall"
"011","X205_2015_Fall.X205_BB90",0.993890428337729,0.00610957166227089,29770,183,"fall"
"012","X31_2013_Fall.X31_BB90",0.964472309299895,0.0355276907001045,1846,68,"fall"
"013","X58_2013_Fall.X58_BB90",0.963152507676561,0.0368474923234391,941,36,"fall"
