,ID,RecentCut2010,RecentCut2011,CutArea2011,RecentCut2012,CutArea2012,CutArea2010,RecentCut2013,CutArea2013,RecentCut2014,CutArea2014,RecentCut2015,CutArea2015,RecentCut2016,CutArea2016,season
0,X13_2013_Fall.X13_BB90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fall
1,X15_2013_Fall.X15_BB90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fall
2,X156_2014_Fall.X156_BB90,475,113,101700,0,0,427500,0,0,0,0,329,296100,0,0,fall
3,X157_2016_Fall.X157_BB90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fall
4,X158_2016_Fall.X158_BB90,0,0,0,530,477000,0,0,0,0,0,0,0,0,0,fall
5,X178_2014_Fall.X178_BB90,386,125,112500,0,0,347400,0,0,0,0,0,0,203,182700,fall
6,X181_2015_Fall.X181_BB90,0,0,0,0,0,0,306,275400,0,0,31,27900,0,0,fall
7,X19_2013_Fall.X19_BB90,0,85,76500,77,69300,0,92,82800,0,0,0,0,0,0,fall
8,X192_2015_Fall.X192_BB90,0,39,35100,0,0,0,0,0,0,0,0,0,0,0,fall
9,X200_2015_Fall.X200_BB90,316,64,57600,0,0,284400,0,0,0,0,978,880200,0,0,fall
10,X202_2015_Fall.X202_BB90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fall
11,X205_2015_Fall.X205_BB90,97,0,0,0,0,87300,0,0,0,0,0,0,0,0,fall
12,X31_2013_Fall.X31_BB90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fall
13,X58_2013_Fall.X58_BB90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fall
