"","ID","RegenWetCTIMean","RegenWetCTITotalCount","RegenWetCTITotalArea","season"
"0","X13_2013_Fall.X13_BB90",0,0,0,"fall"
"01","X15_2013_Fall.X15_BB90",0,0,0,"fall"
"02","X156_2014_Fall.X156_BB90",0.382634443907475,9564,2151900,"fall"
"03","X157_2016_Fall.X157_BB90",0.371084779755598,22,4950,"fall"
"04","X158_2016_Fall.X158_BB90",0.452021712437283,5334,1200150,"fall"
"05","X178_2014_Fall.X178_BB90",0.415145421540879,1040,234000,"fall"
"06","X181_2015_Fall.X181_BB90",0.486684304904136,2742,616950,"fall"
"07","X19_2013_Fall.X19_BB90",0.324483019866432,8340,1876500,"fall"
"08","X192_2015_Fall.X192_BB90",0.438436763545362,629,141525,"fall"
"09","X200_2015_Fall.X200_BB90",0.344421009423149,3824,860400,"fall"
"010","X202_2015_Fall.X202_BB90",0.403047440427817,2244,504900,"fall"
"011","X205_2015_Fall.X205_BB90",0.401863000377322,15,3375,"fall"
"012","X31_2013_Fall.X31_BB90",0,0,0,"fall"
"013","X58_2013_Fall.X58_BB90",0,0,0,"fall"
