"","year","min.snow.date","ID","year","max.snow.date","deathtime","min.death.diff.weeks","max.death.diff.weeks","max.snow.date.jul","min.snow.date.jul"
"1",2013,2013-03-13 03:16:14,11,2013,2013-04-30 20:00:43,2013-09-08 17:00:00,25.6531514550265,18.696357473545,120,72
"2",2013,2013-02-10 00:15:43,13,2013,2013-05-14 04:55:26,2014-08-04 09:00:00,77.1889169973545,63.8814054232804,134,41
"3",2014,2014-02-18 03:00:43,13,2014,2014-04-22 20:01:14,2014-08-04 09:00:00,23.8868336640212,14.7915443121693,112,49
"4",2013,2013-04-07 02:30:43,15,2013,2013-04-30 20:00:43,2014-06-01 11:00:00,60.0505241402116,56.6606431878307,120,97
"5",2014,2014-01-09 02:30:43,15,2014,2014-04-22 20:01:16,2014-06-01 11:00:00,20.4731431878307,5.66058862433862,112,9
"6",2013,2013-02-10 00:16:08,19,2013,2013-04-30 20:00:43,2014-01-08 11:40:00,47.4964153439153,36.0991352513227,120,41
"7",2013,2013-02-10 00:16:08,19,2014,NA,2014-01-08 11:40:00,47.4964153439153,-0.012473544973545,NA,41
"8",2013,2013-02-10 00:15:44,31,2013,2013-04-30 20:01:53,2014-02-14 14:07:00,52.7967526455026,41.3993171296296,120,41
"9",2013,2013-02-10 00:15:44,31,2014,NA,2014-02-14 14:07:00,52.7967526455026,-0.0246742724867725,NA,41
"10",2013,2013-01-31 06:31:06,58,2013,2013-04-30 20:00:43,2013-12-07 23:00:00,44.3838194444444,31.5951669973545,120,31
"11",2013,2013-02-10 00:15:43,90,2013,2013-05-16 01:40:14,2013-07-16 05:00:00,22.3079646164021,8.73410383597884,136,41
"12",2014,2014-04-23 00:15:43,151,2014,2014-04-22 20:00:43,2014-09-16 08:45:00,20.9076669973545,20.9329646164021,112,113
"13",2014,2014-02-12 02:30:01,156,2014,2014-04-22 20:00:00,2015-07-08 16:00:00,73.0744031084656,63.1190476190476,112,43
"14",2015,2015-01-17 01:00:00,156,2015,2015-03-13 23:00:00,2015-07-08 16:00:00,24.6547619047619,16.672619047619,72,17
"15",2016,2016-01-09 01:00:42,157,2016,2016-04-21 23:45:42,2017-06-03 12:28:00,73.0622321428571,58.2184821428571,112,9
"16",2017,2017-04-13 02:30:44,157,2017,2017-04-12 22:15:41,2017-06-03 12:28:00,7.34496693121693,7.37026951058201,102,103
"17",2016,2016-02-02 03:00:45,158,2016,2016-04-16 06:45:42,2017-02-27 13:24:00,55.9189732142857,45.3311805555556,107,33
"18",2016,2016-02-02 03:00:45,158,2017,NA,2017-02-27 13:24:00,55.9189732142857,-0.0708316798941799,NA,33
"19",2015,2015-02-18 00:09:31,161,2015,2015-04-30 22:45:43,2015-11-15 02:22:00,38.5845717592593,28.3131233465608,120,49
"20",2014,2014-02-18 07:15:44,178,2014,2014-05-22 04:23:13,2015-10-02 13:35:00,84.4602447089947,71.1975975529101,142,49
"21",2015,2015-01-23 10:00:43,178,2015,2015-06-05 08:45:43,2015-10-02 13:35:00,36.0153058862434,17.0286987433862,156,23
"22",2015,2015-01-17 01:00:43,181,2015,2015-04-30 22:45:43,2016-10-25 10:45:00,92.4805836640212,77.6427860449735,120,17
"23",2016,2016-03-08 08:45:42,181,2016,2016-04-13 19:15:42,2016-10-25 10:45:00,33.0058829365079,27.8064781746032,104,68
"24",2015,2015-03-04 14:45:43,192,2015,2015-04-30 14:16:14,2016-05-11 04:30:00,61.9329646164021,53.7989847883598,120,63
"25",2016,2016-02-02 03:01:01,192,2016,NA,2016-05-11 04:30:00,14.145732473545,3.88678736772487,NA,33
"26",2015,2015-03-14 03:15:43,200,2015,2015-03-13 23:00:43,2016-08-11 14:20:00,73.7801868386243,73.805484457672,72,73
"27",2016,2016-03-01 02:30:42,200,2016,2016-04-16 02:31:07,2016-08-11 14:20:00,23.350128968254,16.7846114417989,107,61
"28",2015,2015-03-14 03:15:43,202,2015,2015-03-13 23:00:43,2016-08-15 16:54:00,74.3668931878307,74.3921908068783,72,73
"29",2016,2016-02-07 02:00:42,202,2016,2016-04-21 22:45:42,2016-08-15 16:54:00,27.2255257936508,16.5365376984127,112,38
"30",2015,2015-03-30 01:46:03,205,2015,2015-04-22 23:31:02,2016-01-07 07:13:00,40.4669593253968,37.0517824074074,112,89
