"","springMooseBB90HR@data$ID","1","2"
"1","X11_2013_Spring.X11_BB90",631894.62539869,5275355.99850861
"2","X13_2013_Spring.X13_BB90",660841.292863859,5294079.42450399
"3","X13_2014_Spring.X13_BB90",656804.275332199,5295053.75152971
"4","X15_2013_Spring.X15_BB90",627091.44589173,5272055.25209634
"5","X15_2014_Spring.X15_BB90",575199.925160458,5271955.3821293
"6","X151_2014_Spring.X151_BB90",686024.656194854,5300855.78250813
"7","X156_2014_Spring.X156_BB90",596294.029955265,5248728.02870348
"8","X156_2015_Spring.X156_BB90",596442.213767309,5248665.75286768
"9","X157_2016_Spring.X157_BB90",655290.907061698,5271856.18436175
"10","X157_2017_Spring.X157_BB90",653839.00639322,5273282.4636595
"11","X158_2016_Spring.X158_BB90",607409.503477773,5268734.71167889
"12","X161_2015_Spring.X161_BB90",577794.818887731,5299082.84775553
"13","X178_2015_Spring.X178_BB90",667694.367447695,5291616.67097645
"14","X181_2016_Spring.X181_BB90",598642.067038958,5264765.06701221
"15","X19_2013_Spring.X19_BB90",575757.333384934,5302771.84330384
"16","X192_2015_Spring.X192_BB90",599875.812509274,5254338.34306104
"17","X200_2015_Spring.X200_BB90",601165.665823219,5250714.43458502
"18","X200_2016_Spring.X200_BB90",601894.597479203,5249817.14767437
"19","X202_2016_Spring.X202_BB90",608180.127496102,5245410.91063021
"20","X205_2015_Spring.X205_BB90",667786.249132602,5282342.76751686
"21","X31_2013_Spring.X31_BB90",692184.735610371,5310303.50943651
"22","X58_2013_Spring.X58_BB90",648441.106600147,5282617.1841692
"23","X90_2013_Spring.X90_BB90",674121.872422468,5301908.19749156
