"","ID","RecentCut2009_2018","RecentCut2009_2018_raw","CutArea","season"
"0","X11_2013_Spring.X11_BB90",1,2105,1894500,"spring"
"01","X13_2013_Spring.X13_BB90",1,24,21600,"spring"
"02","X13_2014_Spring.X13_BB90",1,44,39600,"spring"
"03","X15_2013_Spring.X15_BB90",1,4,3600,"spring"
"04","X15_2014_Spring.X15_BB90",1,55,49500,"spring"
"05","X151_2014_Spring.X151_BB90",1,209,188100,"spring"
"06","X156_2014_Spring.X156_BB90",1,43,38700,"spring"
"07","X156_2015_Spring.X156_BB90",1,12,10800,"spring"
"08","X157_2016_Spring.X157_BB90",0,0,0,"spring"
"09","X157_2017_Spring.X157_BB90",0,0,0,"spring"
"010","X158_2016_Spring.X158_BB90",1,404,363600,"spring"
"011","X161_2015_Spring.X161_BB90",1,382,343800,"spring"
"012","X178_2015_Spring.X178_BB90",1,568,511200,"spring"
"013","X181_2016_Spring.X181_BB90",1,328,295200,"spring"
"014","X19_2013_Spring.X19_BB90",1,413,371700,"spring"
"015","X192_2015_Spring.X192_BB90",1,372,334800,"spring"
"016","X200_2015_Spring.X200_BB90",1,87,78300,"spring"
"017","X200_2016_Spring.X200_BB90",1,854,768600,"spring"
"018","X202_2016_Spring.X202_BB90",0,0,0,"spring"
"019","X205_2015_Spring.X205_BB90",1,414,372600,"spring"
"020","X31_2013_Spring.X31_BB90",0,0,0,"spring"
"021","X58_2013_Spring.X58_BB90",0,0,0,"spring"
"022","X90_2013_Spring.X90_BB90",1,3,2700,"spring"
