"","ID","RecentCut2010","CutArea2010","RecentCut2011","CutArea2011","RecentCut2012","NA.","CutArea2012","RecentCut2013","CutArea2013","RecentCut2014","CutArea2014","RecentCut2015","CutArea2015","RecentCut2016","CutArea2016"
"0","X11_2013_Spring.X11_BB90",0,0,0,0,317,0,285300,0,0,0,0,0,0,352,316800
"01","X13_2013_Spring.X13_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02","X13_2014_Spring.X13_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03","X15_2013_Spring.X15_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04","X15_2014_Spring.X15_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05","X151_2014_Spring.X151_BB90",31,27900,0,0,158,0,142200,0,0,0,0,0,0,0,0
"06","X156_2014_Spring.X156_BB90",0,0,0,0,0,0,0,0,0,0,0,40,36000,0,0
"07","X156_2015_Spring.X156_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08","X157_2016_Spring.X157_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09","X157_2017_Spring.X157_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010","X158_2016_Spring.X158_BB90",0,0,0,0,186,0,167400,0,0,0,0,0,0,0,0
"011","X161_2015_Spring.X161_BB90",23,20700,27,24300,0,0,0,0,0,0,0,113,101700,0,0
"012","X178_2015_Spring.X178_BB90",388,349200,76,68400,0,0,0,0,0,0,0,0,0,1,900
"013","X181_2016_Spring.X181_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"014","X19_2013_Spring.X19_BB90",0,0,0,0,0,0,0,106,95400,11,9900,168,151200,35,31500
"015","X192_2015_Spring.X192_BB90",38,34200,0,0,0,0,0,0,0,0,0,0,0,0,0
"016","X200_2015_Spring.X200_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"017","X200_2016_Spring.X200_BB90",223,200700,73,65700,0,0,0,0,0,0,0,294,264600,0,0
"018","X202_2016_Spring.X202_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"019","X205_2015_Spring.X205_BB90",325,292500,0,0,0,0,0,0,0,0,0,0,0,0,0
"020","X31_2013_Spring.X31_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021","X58_2013_Spring.X58_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"022","X90_2013_Spring.X90_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
