"","ID","CTIforSTAN50_drypercent","CTIforSTAN50_wetpercent","CTIforSTAN50_dryraw","CTIforSTAN50_wetraw","season"
"0","X11_2013_Spring.X11_BB90",0.945817504019579,0.0541824959804214,66473,3808,"spring"
"01","X13_2013_Spring.X13_BB90",0.956454918032787,0.0435450819672131,1867,85,"spring"
"02","X13_2014_Spring.X13_BB90",0.94793685959568,0.0520631404043201,3423,188,"spring"
"03","X15_2013_Spring.X15_BB90",0.987549036329524,0.0124509636704759,5790,73,"spring"
"04","X15_2014_Spring.X15_BB90",0.997590361445783,0.00240963855421687,414,1,"spring"
"05","X151_2014_Spring.X151_BB90",0.979634169338111,0.0203658306618895,5195,108,"spring"
"06","X156_2014_Spring.X156_BB90",0.942302970783206,0.0576970292167935,19190,1175,"spring"
"07","X156_2015_Spring.X156_BB90",0.987212881837556,0.0127871181624438,4169,54,"spring"
"08","X157_2016_Spring.X157_BB90",0.957469531348159,0.0425304686518407,15241,677,"spring"
"09","X157_2017_Spring.X157_BB90",1,0,65,0,"spring"
"010","X158_2016_Spring.X158_BB90",0.897008115356484,0.102991884643516,51508,5914,"spring"
"011","X161_2015_Spring.X161_BB90",0.990735059516505,0.00926494048349491,16147,151,"spring"
"012","X178_2015_Spring.X178_BB90",0.965243573778414,0.0347564262215862,51933,1870,"spring"
"013","X181_2016_Spring.X181_BB90",0.846501585588017,0.153498414411983,12546,2275,"spring"
"014","X19_2013_Spring.X19_BB90",0.970711544139356,0.0292884558606436,16439,496,"spring"
"015","X192_2015_Spring.X192_BB90",0.906989619377163,0.0930103806228374,6553,672,"spring"
"016","X200_2015_Spring.X200_BB90",0.883458646616541,0.116541353383459,470,62,"spring"
"017","X200_2016_Spring.X200_BB90",0.918180772769089,0.0818192272309108,15969,1423,"spring"
"018","X202_2016_Spring.X202_BB90",0.983299274187866,0.0167007258121345,27908,474,"spring"
"019","X205_2015_Spring.X205_BB90",0.941808811236157,0.0581911887638431,136324,8423,"spring"
"020","X31_2013_Spring.X31_BB90",0.994884910485934,0.0051150895140665,4279,22,"spring"
"021","X58_2013_Spring.X58_BB90",0.970931708555471,0.0290682914445291,7649,229,"spring"
"022","X90_2013_Spring.X90_BB90",0.963365539452496,0.036634460547504,2393,91,"spring"
