"","ID","undisturbed2000","disturbed2000","undisturbed2000.1","disturbed2000.1","season"
"0","X11_2013_Summer.X11_BB90",0.926133277626906,0.0738667223730938,44334,3536,"summer"
"01","X13_2013_Summer.X13_BB90",0.998458489319533,0.00154151068046686,4534,7,"summer"
"02","X15_2013_Summer.X15_BB90",0.965653896961691,0.0343461030383091,3655,130,"summer"
"03","X151_2014_Summer.X151_BB90",0.946296296296296,0.0537037037037037,3066,174,"summer"
"04","X156_2014_Summer.X156_BB90",0.941264162194395,0.0587358378056052,6314,394,"summer"
"05","X157_2016_Summer.X157_BB90",0.997232196289647,0.00276780371035308,13331,37,"summer"
"06","X158_2016_Summer.X158_BB90",0.894790507971821,0.105209492028179,9653,1135,"summer"
"07","X161_2015_Summer.X161_BB90",0.977730965994583,0.0222690340054168,6498,148,"summer"
"08","X178_2014_Summer.X178_BB90",0.911138310893513,0.0888616891064871,7444,726,"summer"
"09","X178_2015_Summer.X178_BB90",0.986529186762016,0.0134708132379844,11864,162,"summer"
"010","X181_2015_Summer.X181_BB90",0.966144200626959,0.0338557993730407,1541,54,"summer"
"011","X181_2016_Summer.X181_BB90",0.9912,0.0088,4956,44,"summer"
"012","X19_2013_Summer.X19_BB90",0.966971746916037,0.0330282530839634,7290,249,"summer"
"013","X192_2015_Summer.X192_BB90",0.998124413879337,0.00187558612066271,3193,6,"summer"
"014","X200_2015_Summer.X200_BB90",0.94782126006106,0.0521787399389398,10245,564,"summer"
"015","X202_2015_Summer.X202_BB90",0.968810051736881,0.031189948263119,6554,211,"summer"
"016","X205_2015_Summer.X205_BB90",0.987812700449006,0.0121872995509942,9240,114,"summer"
"017","X31_2013_Summer.X31_BB90",0.995253847260176,0.00474615273982454,6920,33,"summer"
"018","X58_2013_Summer.X58_BB90",0.968017926257894,0.0319820737421063,4752,157,"summer"
