"","ID","RecentCut2009_2018","RecentCut2009_2018_raw","CutArea","season"
"0","X11_2013_Summer.X11_BB90",1,3615,3253500,"summer"
"01","X13_2013_Summer.X13_BB90",1,308,277200,"summer"
"02","X15_2013_Summer.X15_BB90",1,63,56700,"summer"
"03","X151_2014_Summer.X151_BB90",1,214,192600,"summer"
"04","X156_2014_Summer.X156_BB90",1,1601,1440900,"summer"
"05","X157_2016_Summer.X157_BB90",1,154,138600,"summer"
"06","X158_2016_Summer.X158_BB90",1,1350,1215000,"summer"
"07","X161_2015_Summer.X161_BB90",1,490,441000,"summer"
"08","X178_2014_Summer.X178_BB90",1,377,339300,"summer"
"09","X178_2015_Summer.X178_BB90",1,169,152100,"summer"
"010","X181_2015_Summer.X181_BB90",1,129,116100,"summer"
"011","X181_2016_Summer.X181_BB90",1,82,73800,"summer"
"012","X19_2013_Summer.X19_BB90",1,2137,1923300,"summer"
"013","X192_2015_Summer.X192_BB90",1,404,363600,"summer"
"014","X200_2015_Summer.X200_BB90",1,1348,1213200,"summer"
"015","X202_2015_Summer.X202_BB90",0,0,0,"summer"
"016","X205_2015_Summer.X205_BB90",1,104,93600,"summer"
"017","X31_2013_Summer.X31_BB90",1,32,28800,"summer"
"018","X58_2013_Summer.X58_BB90",0,0,0,"summer"
