"","ID","RecentCut2010","CutArea2010","RecentCut2011","CutArea2011","RecentCut2012","CutArea2012","RecentCut2013","CutArea2013","RecentCut2014","CutArea2014","RecentCut2015","CutArea2015","RecentCut2016","CutArea2016","season"
"0","X11_2013_Summer.X11_BB90",0,0,0,0,0,0,0,0,0,0,626,563400,0,0,"summer"
"01","X13_2013_Summer.X13_BB90",5,4500,54,48600,0,0,0,0,0,0,0,0,0,0,"summer"
"02","X15_2013_Summer.X15_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"summer"
"03","X151_2014_Summer.X151_BB90",0,0,0,0,18,16200,0,0,0,0,0,0,0,0,"summer"
"04","X156_2014_Summer.X156_BB90",347,312300,0,0,0,0,0,0,0,0,83,74700,0,0,"summer"
"05","X157_2016_Summer.X157_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"summer"
"06","X158_2016_Summer.X158_BB90",0,0,0,0,651,585900,0,0,0,0,0,0,0,0,"summer"
"07","X161_2015_Summer.X161_BB90",0,0,92,82800,42,37800,138,124200,112,100800,2,1800,16,14400,"summer"
"08","X178_2014_Summer.X178_BB90",35,31500,136,122400,0,0,0,0,0,0,0,0,11,9900,"summer"
"09","X178_2015_Summer.X178_BB90",0,0,125,112500,0,0,0,0,0,0,0,0,6,5400,"summer"
"010","X181_2015_Summer.X181_BB90",0,0,0,0,0,0,129,116100,0,0,0,0,0,0,"summer"
"011","X181_2016_Summer.X181_BB90",0,0,0,0,0,0,64,57600,0,0,0,0,0,0,"summer"
"012","X19_2013_Summer.X19_BB90",0,0,321,288900,129,116100,269,242100,11,9900,171,153900,194,174600,"summer"
"013","X192_2015_Summer.X192_BB90",0,0,11,9900,0,0,0,0,0,0,0,0,0,0,"summer"
"014","X200_2015_Summer.X200_BB90",142,127800,116,104400,0,0,0,0,0,0,89,80100,0,0,"summer"
"015","X202_2015_Summer.X202_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"summer"
"016","X205_2015_Summer.X205_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"summer"
"017","X31_2013_Summer.X31_BB90",0,0,0,0,0,0,0,0,16,14400,0,0,0,0,"summer"
"018","X58_2013_Summer.X58_BB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"summer"
