"","ID","RegenWetCTIMean","RegenWetCTITotalCount","RegenWetCTITotalArea","season"
"0","X11_2013_Summer.X11_BB90",0.384814466843026,654,147150,"summer"
"01","X13_2013_Summer.X13_BB90",0,0,0,"summer"
"02","X15_2013_Summer.X15_BB90",0,0,0,"summer"
"03","X151_2014_Summer.X151_BB90",0.370374683120335,445,100125,"summer"
"04","X156_2014_Summer.X156_BB90",0.396792935676038,2406,541350,"summer"
"05","X157_2016_Summer.X157_BB90",0,0,0,"summer"
"06","X158_2016_Summer.X158_BB90",0.462762376876825,8102,1822950,"summer"
"07","X161_2015_Summer.X161_BB90",0.364031003466564,7934,1785150,"summer"
"08","X178_2014_Summer.X178_BB90",0.36204142185568,519,116775,"summer"
"09","X178_2015_Summer.X178_BB90",0.452423978857953,915,205875,"summer"
"010","X181_2015_Summer.X181_BB90",0.502568124816433,661,148725,"summer"
"011","X181_2016_Summer.X181_BB90",0.448725908692938,1351,303975,"summer"
"012","X19_2013_Summer.X19_BB90",0.333616852713686,12574,2829150,"summer"
"013","X192_2015_Summer.X192_BB90",0.464762072887245,614,138150,"summer"
"014","X200_2015_Summer.X200_BB90",0.389021017159963,5560,1251000,"summer"
"015","X202_2015_Summer.X202_BB90",0,0,0,"summer"
"016","X205_2015_Summer.X205_BB90",0,0,0,"summer"
"017","X31_2013_Summer.X31_BB90",0,0,0,"summer"
"018","X58_2013_Summer.X58_BB90",0,0,0,"summer"
