"","ID","CTIforSTAN50_drypercent","CTIforSTAN50_wetpercent","CTIforSTAN50_dryraw","CTIforSTAN50_wetraw","season"
"0","X11_2013_Summer.X11_BB90",0.961061910107688,0.0389380898923122,184916,7492,"summer"
"01","X13_2013_Summer.X13_BB90",0.957602419576574,0.0423975804234259,17414,771,"summer"
"02","X15_2013_Summer.X15_BB90",0.971209213051823,0.0287907869481766,14674,435,"summer"
"03","X151_2014_Summer.X151_BB90",0.972098042238323,0.0279019577616772,12612,362,"summer"
"04","X156_2014_Summer.X156_BB90",0.943010592272117,0.056989407727883,25284,1528,"summer"
"05","X157_2016_Summer.X157_BB90",0.966689110836793,0.0333108891632065,51685,1781,"summer"
"06","X158_2016_Summer.X158_BB90",0.917070344188203,0.0829296558117974,39567,3578,"summer"
"07","X161_2015_Summer.X161_BB90",0.975788288288288,0.0242117117117117,25995,645,"summer"
"08","X178_2014_Summer.X178_BB90",0.960820895522388,0.0391791044776119,31415,1281,"summer"
"09","X178_2015_Summer.X178_BB90",0.923468116904683,0.0765318830953172,44489,3687,"summer"
"010","X181_2015_Summer.X181_BB90",0.883611198490091,0.116388801509909,5618,740,"summer"
"011","X181_2016_Summer.X181_BB90",0.879629168120421,0.120370831879579,17648,2415,"summer"
"012","X19_2013_Summer.X19_BB90",0.97217166870719,0.0278283312928096,29380,841,"summer"
"013","X192_2015_Summer.X192_BB90",0.847390184910666,0.152609815089334,10861,1956,"summer"
"014","X200_2015_Summer.X200_BB90",0.951263496173676,0.0487365038263242,41145,2108,"summer"
"015","X202_2015_Summer.X202_BB90",0.964429505411295,0.0355704945887046,26110,963,"summer"
"016","X205_2015_Summer.X205_BB90",0.971185173316242,0.0288148266837579,36367,1079,"summer"
"017","X31_2013_Summer.X31_BB90",0.929269344062073,0.0707306559379266,25869,1969,"summer"
"018","X58_2013_Summer.X58_BB90",0.969496358914294,0.0305036410857056,19038,599,"summer"
